48831,1640838202869,28f41e585f72a8a6ee8b06be1dc763f2,OIAeo,reader_antonreiser,,enter,antonreiser,0,
48855,1640869346000,026d83280b19ddc206a71aede6a5692e,5284X,start,,enter,,0,
48859,1640871418594,aced0a82d5e8ded5368ce3994659ff14,6GHcd,reader_hyperion,,enter,hyperion,0,
48860,1640871418553,aced0a82d5e8ded5368ce3994659ff14,6GHcd,start,,enter,,0,
48861,1640871420521,aced0a82d5e8ded5368ce3994659ff14,6GHcd,reader_hyperion,page83,enter,0.1766,173,hyperion-1-4-2-7-67
48862,1640871423906,aced0a82d5e8ded5368ce3994659ff14,6GHcd,reader_hyperion,location,set,ort-3,0,
48863,1640871476722,aced0a82d5e8ded5368ce3994659ff14,6GHcd,reader_hyperion,page84,enter,0.1787,141,hyperion-1-4-2-7-68;hyperion-1-4-2-7-69;hyperion-1-4-2-7-70;hyperion-1-4-2-7-71;hyperion-1-4-2-7-72
48864,1640871531200,aced0a82d5e8ded5368ce3994659ff14,6GHcd,reader_hyperion,page85,enter,0.1809,125,hyperion-1-4-2-7-72;hyperion-1-4-2-7-73
48865,1640871579756,aced0a82d5e8ded5368ce3994659ff14,6GHcd,reader_hyperion,page86,enter,0.183,144,hyperion-1-4-2-7-73;hyperion-1-4-2-7-74;hyperion-1-4-2-7-75;hyperion-1-4-2-7-76;hyperion-1-4-2-7-77
48866,1640871623703,aced0a82d5e8ded5368ce3994659ff14,6GHcd,reader_hyperion,page87,enter,0.1851,100,hyperion-1-4-2-7-78;hyperion-1-4-2-7-79;hyperion-1-4-2-7-80;hyperion-1-4-2-7-81;hyperion-1-4-2-7-82;hyperion-1-4-2-7-83
48867,1640871658747,aced0a82d5e8ded5368ce3994659ff14,6GHcd,reader_hyperion,page88,enter,0.1872,111,hyperion-1-4-2-7-83;hyperion-1-4-2-7-84;hyperion-1-4-2-7-85;hyperion-1-4-2-7-86;hyperion-1-4-2-7-87;hyperion-1-4-2-7-88
48868,1640871660273,aced0a82d5e8ded5368ce3994659ff14,6GHcd,reader_hyperion,emotion,set,emotion-5,0,
48869,1640871674688,aced0a82d5e8ded5368ce3994659ff14,6GHcd,reader_hyperion,page87,enter,0.1851,107,hyperion-1-4-2-7-77;hyperion-1-4-2-7-78;hyperion-1-4-2-7-79;hyperion-1-4-2-7-80;hyperion-1-4-2-7-81;hyperion-1-4-2-7-82;hyperion-1-4-2-7-83
48870,1640871693021,aced0a82d5e8ded5368ce3994659ff14,6GHcd,reader_hyperion,page88,enter,0.1872,111,hyperion-1-4-2-7-83;hyperion-1-4-2-7-84;hyperion-1-4-2-7-85;hyperion-1-4-2-7-86;hyperion-1-4-2-7-87;hyperion-1-4-2-7-88
48871,1640871715248,aced0a82d5e8ded5368ce3994659ff14,6GHcd,reader_hyperion,page89,enter,0.1894,159,hyperion-1-4-2-7-88;hyperion-1-4-2-7-89
48872,1640871769730,aced0a82d5e8ded5368ce3994659ff14,6GHcd,reader_hyperion,page90,enter,0.1915,310,hyperion-1-4-2-7-89;hyperion-1-4-2-7-90
