6987,1647419688768,1f073dbe1af9e38313eb691f442879e5,uJynN,reader_lenz,,enter,lenz,0,
6988,1647419688725,1f073dbe1af9e38313eb691f442879e5,uJynN,start,,enter,,0,
6989,1647435544792,5c74a6a1f884766c06bb9f0c01e0cd0b,GdlRX,start,,enter,,0,
6990,1647435544878,5c74a6a1f884766c06bb9f0c01e0cd0b,GdlRX,reader_siebenks,,enter,siebenks,0,
6991,1647435565650,5c74a6a1f884766c06bb9f0c01e0cd0b,GdlRX,ueber-textauswahl,,enter,,0,
6992,1647435585026,5c74a6a1f884766c06bb9f0c01e0cd0b,GdlRX,home,,enter,,0,
6993,1647435587625,5c74a6a1f884766c06bb9f0c01e0cd0b,GdlRX,zu-den-texten,,enter,,0,
6994,1647435619816,5c74a6a1f884766c06bb9f0c01e0cd0b,GdlRX,home,,enter,,0,
6995,1647435622829,5c74a6a1f884766c06bb9f0c01e0cd0b,GdlRX,gluecksaufschlag-intro,,enter,,0,
6996,1647435625104,5c74a6a1f884766c06bb9f0c01e0cd0b,GdlRX,home,,enter,,0,
6997,1647435629685,5c74a6a1f884766c06bb9f0c01e0cd0b,GdlRX,projektpartner,,enter,,0,
6998,1647435637935,5c74a6a1f884766c06bb9f0c01e0cd0b,GdlRX,ueber-textauswahl,,enter,,0,
6999,1647435642530,5c74a6a1f884766c06bb9f0c01e0cd0b,GdlRX,kontakt,,enter,,0,
7000,1647435654895,5c74a6a1f884766c06bb9f0c01e0cd0b,GdlRX,ueber-textauswahl,,enter,,0,
7001,1647435656752,5c74a6a1f884766c06bb9f0c01e0cd0b,GdlRX,projektpartner,,enter,,0,
7002,1647435660965,5c74a6a1f884766c06bb9f0c01e0cd0b,GdlRX,home,,enter,,0,
7003,1647435664069,5c74a6a1f884766c06bb9f0c01e0cd0b,GdlRX,zu-den-texten,,enter,,0,
7004,1647435671089,5c74a6a1f884766c06bb9f0c01e0cd0b,GdlRX,titelblatt_meinblauesklavier,,enter,meinblauesklavier,0,
7005,1647435673881,5c74a6a1f884766c06bb9f0c01e0cd0b,GdlRX,reader_meinblauesklavier,,enter,meinblauesklavier,0,
7006,1647451966452,b08032201c7a8bdbe6d3046c1a1f0803,fvDem,start,,enter,,0,
7007,1647457283293,6622eed33ab5e2ae4bf99abc7a384f34,kASmU,start,,enter,,0,
7008,1647457285904,6622eed33ab5e2ae4bf99abc7a384f34,kASmU,datenschutz-bestaetigen,,enter,,0,
7009,1647457287864,6622eed33ab5e2ae4bf99abc7a384f34,kASmU,fragebogen,,enter,,0,
7010,1647457316327,6622eed33ab5e2ae4bf99abc7a384f34,kASmU,home,,enter,,0,
7011,1647457324729,6622eed33ab5e2ae4bf99abc7a384f34,kASmU,gluecksaufschlag-intro,,enter,,0,
7012,1647457326468,6622eed33ab5e2ae4bf99abc7a384f34,kASmU,gluecksaufschlag,,enter,,0,
7013,1647457334266,6622eed33ab5e2ae4bf99abc7a384f34,kASmU,reader_peterschlemihlswundersamegeschichte,,enter,peterschlemihlswundersamegeschichte,0,
7014,1647457340200,6622eed33ab5e2ae4bf99abc7a384f34,kASmU,gluecksaufschlag,,enter,,0,
7015,1647458692008,2273ad80e628a2e23499cd04f1854b39,DWgFS,start,,enter,,0,
7016,1647458692025,2273ad80e628a2e23499cd04f1854b39,DWgFS,reader_penthesilea,,enter,penthesilea,0,
7017,1647458702999,2273ad80e628a2e23499cd04f1854b39,DWgFS,download,,enter,,0,
7018,1647458706447,2273ad80e628a2e23499cd04f1854b39,DWgFS,reader_penthesilea,,enter,penthesilea,0,
7019,1647458707415,2273ad80e628a2e23499cd04f1854b39,DWgFS,start,,enter,,0,
7020,1647458707458,2273ad80e628a2e23499cd04f1854b39,DWgFS,reader_penthesilea,,enter,penthesilea,0,
7021,1647458721015,2273ad80e628a2e23499cd04f1854b39,DWgFS,login,,enter,,0,
7022,1647458725624,2273ad80e628a2e23499cd04f1854b39,DWgFS,reader_penthesilea,,enter,penthesilea,0,
7023,1647470159109,7c5a6f0350fb45b86a44f774efc97235,BgLj2,login,,enter,,0,
7024,1647470199218,7c5a6f0350fb45b86a44f774efc97235,BgLj2,home,,enter,,0,
