7907,1647936576531,c5ea96dfbba9c44116e40b2f19d4fc74,NhR0H,impressum,,enter,,0,
7908,1647938252603,1f073dbe1af9e38313eb691f442879e5,mdEwl,start,,enter,,0,
7909,1647938252643,1f073dbe1af9e38313eb691f442879e5,mdEwl,reader_lenz,,enter,lenz,0,
7910,1647938255226,1f073dbe1af9e38313eb691f442879e5,mdEwl,home,,enter,,0,
7911,1647961142688,c5b55a69308618490128ef246822323e,j1bwN,start,,enter,,0,
7912,1647961145397,c5b55a69308618490128ef246822323e,j1bwN,datenschutz-bestaetigen,,enter,,0,
7913,1647961147551,c5b55a69308618490128ef246822323e,j1bwN,fragebogen,,enter,,0,
7914,1647961150388,c5b55a69308618490128ef246822323e,j1bwN,home,,enter,,0,
7915,1647961151927,c5b55a69308618490128ef246822323e,j1bwN,zu-den-texten,,enter,,0,
7916,1647961153757,c5b55a69308618490128ef246822323e,j1bwN,titelblatt_buntesteine,,enter,buntesteine,0,
7917,1647961156168,c5b55a69308618490128ef246822323e,j1bwN,literaturmuseum_buntesteine,,enter,buntesteine,0,
7918,1647961166979,c5b55a69308618490128ef246822323e,j1bwN,titelblatt_buntesteine,,enter,buntesteine,0,
7919,1647961171875,c5b55a69308618490128ef246822323e,j1bwN,literaturmuseum_buntesteine,,enter,buntesteine,0,
7920,1647961195624,00c10ae468dec923c71471c284849b0d,fn6eO,start,,enter,,0,
7921,1647961195653,00c10ae468dec923c71471c284849b0d,fn6eO,reader_dieleidendesjungenwerthers,,enter,dieleidendesjungenwerthers,0,
7922,1647961199882,00c10ae468dec923c71471c284849b0d,fn6eO,reader_dieleidendesjungenwerthers,page15,enter,0.0419,109,dieleidendesjungenwerthers-0-2-2-1-17;dieleidendesjungenwerthers-0-2-2-1-18
7923,1647961200475,c5b55a69308618490128ef246822323e,j1bwN,titelblatt_buntesteine,,enter,buntesteine,0,
7924,1647961211911,00c10ae468dec923c71471c284849b0d,fn6eO,reader_dieleidendesjungenwerthers,page16,enter,0.0445,207,dieleidendesjungenwerthers-0-2-2-1-17;dieleidendesjungenwerthers-0-2-2-1-18;dieleidendesjungenwerthers-0-2-2-1-19
7925,1647961213643,00c10ae468dec923c71471c284849b0d,fn6eO,reader_dieleidendesjungenwerthers,location,close,reject,0,
7926,1647961214200,00c10ae468dec923c71471c284849b0d,fn6eO,reader_dieleidendesjungenwerthers,page15,enter,0.0419,207,dieleidendesjungenwerthers-0-2-2-1-17;dieleidendesjungenwerthers-0-2-2-1-18;dieleidendesjungenwerthers-0-2-2-1-19
7927,1647961214715,00c10ae468dec923c71471c284849b0d,fn6eO,reader_dieleidendesjungenwerthers,page14,enter,0.0393,338,dieleidendesjungenwerthers-0-2-2-1-15;dieleidendesjungenwerthers-0-2-2-1-16;dieleidendesjungenwerthers-0-2-2-1-17;dieleidendesjungenwerthers-0-2-2-1-18;dieleidendesjungenwerthers-0-2-2-1-19
