8087,1648024864863,1f073dbe1af9e38313eb691f442879e5,QPbcf,reader_lenz,,enter,lenz,0,
8088,1648024864817,1f073dbe1af9e38313eb691f442879e5,QPbcf,start,,enter,,0,
8089,1648024868991,1f073dbe1af9e38313eb691f442879e5,QPbcf,home,,enter,,0,
8090,1648027187528,d9ab39813dc18d8c850afb0aa91bd005,Q31xd,reader_dieruber,,enter,dieruber,0,
8091,1648027187509,d9ab39813dc18d8c850afb0aa91bd005,Q31xd,start,,enter,,0,
8092,1648027196154,d9ab39813dc18d8c850afb0aa91bd005,Q31xd,home,,enter,,0,
8093,1648027198002,d9ab39813dc18d8c850afb0aa91bd005,Q31xd,zu-den-texten,,enter,,0,
8094,1648034809919,aec27189cac3544835c7c068fdbd3ed5,xpIth,start,,enter,,0,
8095,1648034809960,aec27189cac3544835c7c068fdbd3ed5,xpIth,reader_ausdemlebeneinestaugenichts,,enter,ausdemlebeneinestaugenichts,0,
8096,1648034863038,aec27189cac3544835c7c068fdbd3ed5,xpIth,ueber-textauswahl,,enter,,0,
8097,1648034874044,aec27189cac3544835c7c068fdbd3ed5,xpIth,reader_ausdemlebeneinestaugenichts,,enter,ausdemlebeneinestaugenichts,0,
8098,1648034874828,aec27189cac3544835c7c068fdbd3ed5,xpIth,start,,enter,,0,
8099,1648034874873,aec27189cac3544835c7c068fdbd3ed5,xpIth,reader_ausdemlebeneinestaugenichts,,enter,ausdemlebeneinestaugenichts,0,
8100,1648069104623,7bc3b8e880bebb7a0a81904b542317f8,UymMy,start,,enter,,0,
8101,1648069104671,7bc3b8e880bebb7a0a81904b542317f8,UymMy,reader_antonreiser,,enter,antonreiser,0,
8102,1648069133265,7bc3b8e880bebb7a0a81904b542317f8,UymMy,second-menu,,enter,,0,
8103,1648069142425,7bc3b8e880bebb7a0a81904b542317f8,UymMy,reader_antonreiser,,enter,antonreiser,0,
8104,1648071606923,c877b8cd4c70a271de7dc82ff9abbabc,21tah,start,,enter,,0,
8105,1648071606942,c877b8cd4c70a271de7dc82ff9abbabc,21tah,reader_dieaufzeichnungendesmaltelauridsbrigge,,enter,dieaufzeichnungendesmaltelauridsbrigge,0,
8106,1648071621121,c877b8cd4c70a271de7dc82ff9abbabc,21tah,home,,enter,,0,
8107,1648071623708,c877b8cd4c70a271de7dc82ff9abbabc,21tah,zu-den-texten,,enter,,0,
8108,1648071648963,c877b8cd4c70a271de7dc82ff9abbabc,21tah,titelblatt_hyperion,,enter,hyperion,0,
8109,1648071652817,c877b8cd4c70a271de7dc82ff9abbabc,21tah,zu-den-texten,,enter,,0,
8110,1648071655903,c877b8cd4c70a271de7dc82ff9abbabc,21tah,home,,enter,,0,
8111,1648071657586,c877b8cd4c70a271de7dc82ff9abbabc,21tah,zu-den-texten,,enter,,0,
8112,1648071682810,c877b8cd4c70a271de7dc82ff9abbabc,21tah,titelblatt_geschichtedesagathon,,enter,geschichtedesagathon,0,
8113,1648071685728,c877b8cd4c70a271de7dc82ff9abbabc,21tah,zu-den-texten,,enter,,0,
8114,1648071702943,c877b8cd4c70a271de7dc82ff9abbabc,21tah,titelblatt_sonetteanorpheus,,enter,sonetteanorpheus,0,
8115,1648071706611,c877b8cd4c70a271de7dc82ff9abbabc,21tah,reader_sonetteanorpheus,,enter,sonetteanorpheus,0,
8116,1648071780041,c877b8cd4c70a271de7dc82ff9abbabc,21tah,second-menu,,enter,,0,
8117,1648071789753,c877b8cd4c70a271de7dc82ff9abbabc,21tah,reader_sonetteanorpheus,,enter,sonetteanorpheus,0,
8118,1648071793597,c877b8cd4c70a271de7dc82ff9abbabc,21tah,second-menu,,enter,,0,
8119,1648071797703,c877b8cd4c70a271de7dc82ff9abbabc,21tah,reader_sonetteanorpheus,,enter,sonetteanorpheus,0,
8120,1648071834339,c877b8cd4c70a271de7dc82ff9abbabc,fnx8Y,login,,enter,,0,
8121,1648071848584,c877b8cd4c70a271de7dc82ff9abbabc,dV3Ga,reader_sonetteanorpheus,,enter,sonetteanorpheus,0,
8122,1648071855688,c877b8cd4c70a271de7dc82ff9abbabc,dV3Ga,home,,enter,,0,
8123,1648071857333,c877b8cd4c70a271de7dc82ff9abbabc,dV3Ga,zu-den-texten,,enter,,0,
8124,1648071875919,c877b8cd4c70a271de7dc82ff9abbabc,dV3Ga,titelblatt_penthesilea,,enter,penthesilea,0,
8125,1648071877996,c877b8cd4c70a271de7dc82ff9abbabc,dV3Ga,reader_penthesilea,,enter,penthesilea,0,
8126,1648071979019,c877b8cd4c70a271de7dc82ff9abbabc,dV3Ga,home,,enter,,0,
8127,1648071980829,c877b8cd4c70a271de7dc82ff9abbabc,dV3Ga,zu-den-texten,,enter,,0,
8128,1648071999598,c877b8cd4c70a271de7dc82ff9abbabc,dV3Ga,titelblatt_sonetteanorpheus,,enter,sonetteanorpheus,0,
8129,1648072001960,c877b8cd4c70a271de7dc82ff9abbabc,dV3Ga,reader_sonetteanorpheus,,enter,sonetteanorpheus,0,
