53729,1658533077332,51377bda3d413568e47d91b08340eec9,0IkbB,impressum,,enter,,0,
53730,1658562424594,1f073dbe1af9e38313eb691f442879e5,CilvP,start,,enter,,0,
53731,1658562424638,1f073dbe1af9e38313eb691f442879e5,CilvP,reader_ardinghellounddieglckseligeninseln,,enter,ardinghellounddieglckseligeninseln,0,
53732,1658562425956,1f073dbe1af9e38313eb691f442879e5,CilvP,reader_ardinghellounddieglckseligeninseln,page87,enter,0.2051,52,ardinghellounddieglckseligeninseln-f1984;ardinghellounddieglckseligeninseln-f3b5e;ardinghellounddieglckseligeninseln-fa7af
53733,1658562459100,1f073dbe1af9e38313eb691f442879e5,CilvP,reader_ardinghellounddieglckseligeninseln,location,close,reject,0,
53734,1658562464875,1f073dbe1af9e38313eb691f442879e5,CilvP,home,,enter,,0,
53735,1658562554024,1f073dbe1af9e38313eb691f442879e5,CilvP,home,,enter,,0,
53736,1658562467280,1f073dbe1af9e38313eb691f442879e5,CilvP,gluecksaufschlag-intro,,enter,,0,
53737,1658586824993,1f073dbe1af9e38313eb691f442879e5,euWNY,fifty-saetze,,enter,,0,
53738,1658586922392,1f073dbe1af9e38313eb691f442879e5,euWNY,home,,enter,,0,
53739,1658586924476,1f073dbe1af9e38313eb691f442879e5,euWNY,gluecksaufschlag-intro,,enter,,0,
53740,1658586931697,1f073dbe1af9e38313eb691f442879e5,euWNY,gluecksaufschlag,,enter,,0,
53741,1658586948117,1f073dbe1af9e38313eb691f442879e5,euWNY,gluecksaufschlag-intro,,enter,,0,
53742,1658586976658,1f073dbe1af9e38313eb691f442879e5,euWNY,home,,enter,,0,
53743,1658586979153,1f073dbe1af9e38313eb691f442879e5,euWNY,zu-den-texten,,enter,,0,
53744,1658587003873,1f073dbe1af9e38313eb691f442879e5,euWNY,home,,enter,,0,
53745,1658588300530,456c3d8d2e5da1a378158ddb6e8d9f88,q6g1q,reader_meinblauesklavier,,enter,meinblauesklavier,0,
53746,1658588300499,456c3d8d2e5da1a378158ddb6e8d9f88,q6g1q,start,,enter,,0,
53747,1658588301593,456c3d8d2e5da1a378158ddb6e8d9f88,q6g1q,reader_meinblauesklavier,page31,enter,0.7273,55,meinblauesklavier-253f2;meinblauesklavier-61a7b;meinblauesklavier-66b2b;meinblauesklavier-723e8;meinblauesklavier-76d04;meinblauesklavier-77828;meinblauesklavier-96ba0;meinblauesklavier-ddce2;meinblauesklavier-f119b
53748,1658588316846,456c3d8d2e5da1a378158ddb6e8d9f88,q6g1q,reader_meinblauesklavier,page32,enter,0.75,47,meinblauesklavier-0374b;meinblauesklavier-42860;meinblauesklavier-4fb34;meinblauesklavier-7c2f6;meinblauesklavier-9e0be;meinblauesklavier-c1718;meinblauesklavier-f6300
53749,1658588320373,456c3d8d2e5da1a378158ddb6e8d9f88,q6g1q,reader_meinblauesklavier,location,set,ort-7,0,
53750,1658588341932,456c3d8d2e5da1a378158ddb6e8d9f88,q6g1q,reader_meinblauesklavier,page33,enter,0.7727,49,meinblauesklavier-072eb;meinblauesklavier-0e3c2;meinblauesklavier-5abf7;meinblauesklavier-5dcb2;meinblauesklavier-6bbc5;meinblauesklavier-a05af;meinblauesklavier-b516c;meinblauesklavier-fc347
53751,1658588363497,456c3d8d2e5da1a378158ddb6e8d9f88,q6g1q,reader_meinblauesklavier,page34,enter,0.7955,53,meinblauesklavier-2ab71;meinblauesklavier-4c7e4;meinblauesklavier-8e581;meinblauesklavier-9cc41;meinblauesklavier-9cc92;meinblauesklavier-bf524;meinblauesklavier-c4ec1;meinblauesklavier-e661e;meinblauesklavier-f1679
53752,1658595557646,30e120c6045230865f2553a5d7f43915,ABy6z,start,,enter,,0,
53753,1658595560649,30e120c6045230865f2553a5d7f43915,ABy6z,datenschutz-bestaetigen,,enter,,0,
53754,1658595567912,30e120c6045230865f2553a5d7f43915,ABy6z,fragebogen,,enter,,0,
53755,1658595658031,30e120c6045230865f2553a5d7f43915,s5sra,home,,enter,,0,
53756,1658595672448,30e120c6045230865f2553a5d7f43915,s5sra,zu-den-texten,,enter,,0,
53757,1658595719191,30e120c6045230865f2553a5d7f43915,s5sra,titelblatt_diegeschichtedesfruleinsvonsternheim,,enter,diegeschichtedesfruleinsvonsternheim,0,
53758,1658595727471,30e120c6045230865f2553a5d7f43915,s5sra,reader_diegeschichtedesfruleinsvonsternheim,,enter,diegeschichtedesfruleinsvonsternheim,0,
53759,1658595811005,30e120c6045230865f2553a5d7f43915,s5sra,reader_diegeschichtedesfruleinsvonsternheim,,enter,diegeschichtedesfruleinsvonsternheim,0,
53760,1658595810954,30e120c6045230865f2553a5d7f43915,s5sra,start,,enter,,0,
53761,1658595811025,30e120c6045230865f2553a5d7f43915,s5sra,reader_diegeschichtedesfruleinsvonsternheim,page1,enter,0.002,18,diegeschichtedesfruleinsvonsternheim-2229f;diegeschichtedesfruleinsvonsternheim-2811d;diegeschichtedesfruleinsvonsternheim-5ce68;diegeschichtedesfruleinsvonsternheim-5e4c1;diegeschichtedesfruleinsvonsternheim-662dc;diegeschichtedesfruleinsvonsternheim-90f1f;diegeschichtedesfruleinsvonsternheim-967dd;diegeschichtedesfruleinsvonsternheim-abf87;diegeschichtedesfruleinsvonsternheim-bc90b;diegeschichtedesfruleinsvonsternheim-f8576
53762,1658595826264,30e120c6045230865f2553a5d7f43915,s5sra,reader_diegeschichtedesfruleinsvonsternheim,location,set,ort-5,0,
53763,1658595828301,30e120c6045230865f2553a5d7f43915,s5sra,reader_diegeschichtedesfruleinsvonsternheim,page2,enter,0.0031,100,diegeschichtedesfruleinsvonsternheim-10b50;diegeschichtedesfruleinsvonsternheim-3a12a;diegeschichtedesfruleinsvonsternheim-4c9b9;diegeschichtedesfruleinsvonsternheim-56ede;diegeschichtedesfruleinsvonsternheim-887ea;diegeschichtedesfruleinsvonsternheim-bf056;diegeschichtedesfruleinsvonsternheim-e9a13;diegeschichtedesfruleinsvonsternheim-ec23d;diegeschichtedesfruleinsvonsternheim-ec38f
53764,1658595876918,30e120c6045230865f2553a5d7f43915,s5sra,reader_diegeschichtedesfruleinsvonsternheim,page3,enter,0.0041,108,diegeschichtedesfruleinsvonsternheim-4f925;diegeschichtedesfruleinsvonsternheim-84575;diegeschichtedesfruleinsvonsternheim-da600;diegeschichtedesfruleinsvonsternheim-ec23d;diegeschichtedesfruleinsvonsternheim-f6e98
53765,1658595904062,30e120c6045230865f2553a5d7f43915,s5sra,reader_diegeschichtedesfruleinsvonsternheim,page4,enter,0.0051,118,diegeschichtedesfruleinsvonsternheim-3813c;diegeschichtedesfruleinsvonsternheim-3bfbc;diegeschichtedesfruleinsvonsternheim-6e7db;diegeschichtedesfruleinsvonsternheim-84575;diegeschichtedesfruleinsvonsternheim-e55fc
53766,1658595937016,30e120c6045230865f2553a5d7f43915,s5sra,reader_diegeschichtedesfruleinsvonsternheim,page5,enter,0.0061,94,diegeschichtedesfruleinsvonsternheim-173b8;diegeschichtedesfruleinsvonsternheim-e5405;diegeschichtedesfruleinsvonsternheim-e55fc
53767,1658595961250,30e120c6045230865f2553a5d7f43915,s5sra,reader_diegeschichtedesfruleinsvonsternheim,page6,enter,0.0071,100,diegeschichtedesfruleinsvonsternheim-173b8;diegeschichtedesfruleinsvonsternheim-6fb37;diegeschichtedesfruleinsvonsternheim-9d9e4;diegeschichtedesfruleinsvonsternheim-ef2da
53768,1658595984230,30e120c6045230865f2553a5d7f43915,s5sra,reader_diegeschichtedesfruleinsvonsternheim,page7,enter,0.0082,90,diegeschichtedesfruleinsvonsternheim-1af66;diegeschichtedesfruleinsvonsternheim-4468c;diegeschichtedesfruleinsvonsternheim-6fb37;diegeschichtedesfruleinsvonsternheim-86d21
53769,1658596011999,30e120c6045230865f2553a5d7f43915,s5sra,reader_diegeschichtedesfruleinsvonsternheim,page8,enter,0.0092,94,diegeschichtedesfruleinsvonsternheim-153b7;diegeschichtedesfruleinsvonsternheim-1af66;diegeschichtedesfruleinsvonsternheim-1c5bf;diegeschichtedesfruleinsvonsternheim-9d94b;diegeschichtedesfruleinsvonsternheim-d9453
53770,1658609718750,c9a7d93de0b10aa7306f533c4cdc5e7b,AivTA,start,,enter,,0,
53771,1658609729373,c9a7d93de0b10aa7306f533c4cdc5e7b,AivTA,datenschutz-bestaetigen,,enter,,0,
53772,1658609733488,c9a7d93de0b10aa7306f533c4cdc5e7b,AivTA,fragebogen,,enter,,0,
53773,1658609759714,c9a7d93de0b10aa7306f533c4cdc5e7b,AivTA,home,,enter,,0,
53774,1658609770216,c9a7d93de0b10aa7306f533c4cdc5e7b,AivTA,fifty-saetze,,enter,,0,
53775,1658609775437,c9a7d93de0b10aa7306f533c4cdc5e7b,AivTA,reader_antonreiser,,enter,antonreiser,0,
53776,1658609776667,c9a7d93de0b10aa7306f533c4cdc5e7b,AivTA,reader_antonreiser,page94,enter,0.0542,77,antonreiser-153dd;antonreiser-1feef;antonreiser-2b1e2
53777,1658609776951,c9a7d93de0b10aa7306f533c4cdc5e7b,AivTA,reader_antonreiser,page95,enter,0.0548,71,antonreiser-045ef;antonreiser-1f3b4;antonreiser-2b1e2;antonreiser-c1b5f
53778,1658609793011,c9a7d93de0b10aa7306f533c4cdc5e7b,AivTA,reader_antonreiser,location,close,reject,0,
53779,1658609798408,c9a7d93de0b10aa7306f533c4cdc5e7b,AivTA,reader_antonreiser,page96,enter,0.0553,72,antonreiser-045ef;antonreiser-0cf71;antonreiser-23871
53780,1658609799775,c9a7d93de0b10aa7306f533c4cdc5e7b,AivTA,reader_antonreiser,page97,enter,0.0559,81,antonreiser-777f7;antonreiser-91a8c;antonreiser-fd173
53781,1658609800274,c9a7d93de0b10aa7306f533c4cdc5e7b,AivTA,reader_antonreiser,page98,enter,0.0565,69,antonreiser-08151;antonreiser-fd173
53782,1658610144873,d8c58823079d59c28cf36e5d74fa5732,dFWKp,start,,enter,,0,
53783,1658610151239,d8c58823079d59c28cf36e5d74fa5732,dFWKp,datenschutz-bestaetigen,,enter,,0,
53784,1658610155596,d8c58823079d59c28cf36e5d74fa5732,dFWKp,fragebogen,,enter,,0,
53785,1658610186881,d8c58823079d59c28cf36e5d74fa5732,dFWKp,home,,enter,,0,
53786,1658610190444,d8c58823079d59c28cf36e5d74fa5732,dFWKp,zu-den-texten,,enter,,0,
53787,1658610218247,d8c58823079d59c28cf36e5d74fa5732,dFWKp,titelblatt_ausdemlebeneinestaugenichts,,enter,ausdemlebeneinestaugenichts,0,
53788,1658610220409,d8c58823079d59c28cf36e5d74fa5732,dFWKp,warum-lesen-wir_ausdemlebeneinestaugenichts,,enter,ausdemlebeneinestaugenichts,0,
53789,1658610225406,d8c58823079d59c28cf36e5d74fa5732,dFWKp,titelblatt_ausdemlebeneinestaugenichts,,enter,ausdemlebeneinestaugenichts,0,
53790,1658610228334,d8c58823079d59c28cf36e5d74fa5732,dFWKp,literaturmuseum_ausdemlebeneinestaugenichts,,enter,ausdemlebeneinestaugenichts,0,
53791,1658610250494,d8c58823079d59c28cf36e5d74fa5732,dFWKp,titelblatt_ausdemlebeneinestaugenichts,,enter,ausdemlebeneinestaugenichts,0,
53792,1658610252550,d8c58823079d59c28cf36e5d74fa5732,dFWKp,reader_ausdemlebeneinestaugenichts,,enter,ausdemlebeneinestaugenichts,0,
53793,1658610455005,d8c58823079d59c28cf36e5d74fa5732,dFWKp,titelblatt_ausdemlebeneinestaugenichts,,enter,ausdemlebeneinestaugenichts,0,
53794,1658610471203,d8c58823079d59c28cf36e5d74fa5732,dFWKp,zu-den-texten,,enter,,0,
53795,1658610498453,d8c58823079d59c28cf36e5d74fa5732,dFWKp,home,,enter,,0,
53796,1658610500126,d8c58823079d59c28cf36e5d74fa5732,dFWKp,fifty-saetze,,enter,,0,
53797,1658610524345,d8c58823079d59c28cf36e5d74fa5732,dFWKp,reader_dieaufzeichnungendesmaltelauridsbrigge,,enter,dieaufzeichnungendesmaltelauridsbrigge,0,
