83224,1668812402170,3e66b66ba3588e2a37cc670261a095ac,NVwUV,reader_goethesgedichte,page145,enter,0.0526,35,goethesgedichte-0ae8b;goethesgedichte-0df67;goethesgedichte-1e68d;goethesgedichte-4ffa1;goethesgedichte-5207c;goethesgedichte-81d8c;goethesgedichte-a4687;goethesgedichte-d4858;goethesgedichte-e6f32;goethesgedichte-f28a4;goethesgedichte-f4599
83225,1668813888886,50959bb4520147ef9600584086b120e0,TglMI,home,,enter,,0,
83226,1668813888883,50959bb4520147ef9600584086b120e0,TglMI,start,,enter,,0,
83227,1668813893367,50959bb4520147ef9600584086b120e0,TglMI,gluecksaufschlag-intro,,enter,,0,
83228,1668813894322,50959bb4520147ef9600584086b120e0,TglMI,home,,enter,,0,
83229,1668813894564,50959bb4520147ef9600584086b120e0,TglMI,start,,enter,,0,
83230,1668840998500,38139cd200f81ec055d781802cfd5eb2,loibA,start,,enter,,0,
83231,1668840998533,38139cd200f81ec055d781802cfd5eb2,loibA,reader_dieleidendesjungenwerthers,,enter,dieleidendesjungenwerthers,0,
83232,1668840999693,38139cd200f81ec055d781802cfd5eb2,loibA,reader_dieleidendesjungenwerthers,page11,enter,0.031,93,dieleidendesjungenwerthers-10d91;dieleidendesjungenwerthers-289f3;dieleidendesjungenwerthers-43dd3;dieleidendesjungenwerthers-47dd3;dieleidendesjungenwerthers-56c79;dieleidendesjungenwerthers-84261;dieleidendesjungenwerthers-a5106
83233,1668841031171,38139cd200f81ec055d781802cfd5eb2,loibA,reader_dieleidendesjungenwerthers,page12,enter,0.0336,115,dieleidendesjungenwerthers-0401c;dieleidendesjungenwerthers-19b8b;dieleidendesjungenwerthers-1aa30;dieleidendesjungenwerthers-6335b;dieleidendesjungenwerthers-83b9e;dieleidendesjungenwerthers-af4cd;dieleidendesjungenwerthers-ce18e
83234,1668841032221,38139cd200f81ec055d781802cfd5eb2,loibA,reader_dieleidendesjungenwerthers,page13,leave,0.031,115,dieleidendesjungenwerthers-0401c;dieleidendesjungenwerthers-19b8b;dieleidendesjungenwerthers-1aa30;dieleidendesjungenwerthers-6335b;dieleidendesjungenwerthers-83b9e;dieleidendesjungenwerthers-af4cd;dieleidendesjungenwerthers-ce18e
83235,1668841041720,38139cd200f81ec055d781802cfd5eb2,DyILU,start,,enter,,0,
83236,1668841041752,38139cd200f81ec055d781802cfd5eb2,DyILU,reader_dieleidendesjungenwerthers,,enter,dieleidendesjungenwerthers,0,
83237,1668841042693,38139cd200f81ec055d781802cfd5eb2,DyILU,reader_dieleidendesjungenwerthers,page12,enter,0.0336,115,dieleidendesjungenwerthers-0401c;dieleidendesjungenwerthers-19b8b;dieleidendesjungenwerthers-1aa30;dieleidendesjungenwerthers-6335b;dieleidendesjungenwerthers-83b9e;dieleidendesjungenwerthers-af4cd;dieleidendesjungenwerthers-ce18e
83238,1668841094335,38139cd200f81ec055d781802cfd5eb2,DyILU,reader_dieleidendesjungenwerthers,page13,enter,0.0362,97,dieleidendesjungenwerthers-1aa30;dieleidendesjungenwerthers-5cfce;dieleidendesjungenwerthers-6678d;dieleidendesjungenwerthers-97797;dieleidendesjungenwerthers-9a461;dieleidendesjungenwerthers-9bbbe;dieleidendesjungenwerthers-d7266;dieleidendesjungenwerthers-f0f67;dieleidendesjungenwerthers-f5925
83239,1668841099009,38139cd200f81ec055d781802cfd5eb2,DyILU,reader_dieleidendesjungenwerthers,location,set,ort-3,0,
83240,1668841162300,38139cd200f81ec055d781802cfd5eb2,DyILU,start,,enter,,0,
83241,1668841162351,38139cd200f81ec055d781802cfd5eb2,DyILU,reader_dieleidendesjungenwerthers,,enter,dieleidendesjungenwerthers,0,
83242,1668841162437,38139cd200f81ec055d781802cfd5eb2,DyILU,reader_dieleidendesjungenwerthers,page13,enter,0.0362,97,dieleidendesjungenwerthers-1aa30;dieleidendesjungenwerthers-5cfce;dieleidendesjungenwerthers-6678d;dieleidendesjungenwerthers-97797;dieleidendesjungenwerthers-9a461;dieleidendesjungenwerthers-9bbbe;dieleidendesjungenwerthers-d7266;dieleidendesjungenwerthers-f0f67;dieleidendesjungenwerthers-f5925
83243,1668841189763,38139cd200f81ec055d781802cfd5eb2,DyILU,reader_dieleidendesjungenwerthers,page14,enter,0.0388,100,dieleidendesjungenwerthers-6d8e8;dieleidendesjungenwerthers-9bbbe;dieleidendesjungenwerthers-a292b
83244,1668841245114,38139cd200f81ec055d781802cfd5eb2,DyILU,reader_dieleidendesjungenwerthers,page15,enter,0.0413,109,dieleidendesjungenwerthers-3412b;dieleidendesjungenwerthers-348b3;dieleidendesjungenwerthers-4f657;dieleidendesjungenwerthers-50db7;dieleidendesjungenwerthers-570e5;dieleidendesjungenwerthers-59bb3;dieleidendesjungenwerthers-6d810;dieleidendesjungenwerthers-7eb82;dieleidendesjungenwerthers-8b5a0;dieleidendesjungenwerthers-9c1df;dieleidendesjungenwerthers-a292b;dieleidendesjungenwerthers-a4346;dieleidendesjungenwerthers-dbe3c;dieleidendesjungenwerthers-e91dd;dieleidendesjungenwerthers-fafdb
83245,1668841276975,38139cd200f81ec055d781802cfd5eb2,DyILU,reader_dieleidendesjungenwerthers,page16,enter,0.0439,102,dieleidendesjungenwerthers-01537;dieleidendesjungenwerthers-0a0fd;dieleidendesjungenwerthers-18766;dieleidendesjungenwerthers-59bb3;dieleidendesjungenwerthers-69911;dieleidendesjungenwerthers-d81c1
83246,1668841331329,38139cd200f81ec055d781802cfd5eb2,DyILU,reader_dieleidendesjungenwerthers,page17,enter,0.0465,122,dieleidendesjungenwerthers-0a0fd;dieleidendesjungenwerthers-10c63;dieleidendesjungenwerthers-1e1c0;dieleidendesjungenwerthers-374e8;dieleidendesjungenwerthers-519c1;dieleidendesjungenwerthers-6238e;dieleidendesjungenwerthers-69f61;dieleidendesjungenwerthers-a084c;dieleidendesjungenwerthers-c99fc;dieleidendesjungenwerthers-d7930;dieleidendesjungenwerthers-f982f
83247,1668841391200,38139cd200f81ec055d781802cfd5eb2,DyILU,reader_dieleidendesjungenwerthers,page18,enter,0.0491,110,dieleidendesjungenwerthers-0a3ad;dieleidendesjungenwerthers-155f2;dieleidendesjungenwerthers-1e1c0;dieleidendesjungenwerthers-4ebc6;dieleidendesjungenwerthers-71a20;dieleidendesjungenwerthers-97769;dieleidendesjungenwerthers-9b233;dieleidendesjungenwerthers-a569f;dieleidendesjungenwerthers-f5222
