162761,1737157282143,4e9c478f143e4fe05c7a229fe7ba39ac,UCJSk,reader_dieleidendesjungenwerthers,page1,enter,0.0068,87,dieleidendesjungenwerthers-54f9c;dieleidendesjungenwerthers-8500c;dieleidendesjungenwerthers-ae100;dieleidendesjungenwerthers-b1d6e;dieleidendesjungenwerthers-f0299
162762,1737162034473,7cca99778558848ec788231ba4c82700,nhRXz,start,,enter,,0,
162763,1737162045824,7cca99778558848ec788231ba4c82700,nhRXz,datenschutz-bestaetigen,,enter,,0,
162764,1737162048412,7cca99778558848ec788231ba4c82700,nhRXz,fragebogen,,enter,,0,
162765,1737162112287,7cca99778558848ec788231ba4c82700,nhRXz,home,,enter,,0,
162766,1737162120306,7cca99778558848ec788231ba4c82700,nhRXz,zu-den-texten,,enter,,0,
162767,1737162139566,7cca99778558848ec788231ba4c82700,nhRXz,titelblatt_antonreiser,,enter,antonreiser,0,
162768,1737162142053,7cca99778558848ec788231ba4c82700,nhRXz,reader_antonreiser,,enter,antonreiser,0,
162769,1737162175573,7cca99778558848ec788231ba4c82700,nhRXz,profileinstellungen,,enter,,0,
162770,1737162184254,7cca99778558848ec788231ba4c82700,nhRXz,dashboard,,enter,,0,
162771,1737162199341,7cca99778558848ec788231ba4c82700,nhRXz,dashboard-angefangen,,enter,,0,
162772,1737162213215,7cca99778558848ec788231ba4c82700,nhRXz,dashboard-favoriten,,enter,,0,
162773,1737162215756,7cca99778558848ec788231ba4c82700,nhRXz,dashboard-wochentage,,enter,,0,
162774,1737162219591,7cca99778558848ec788231ba4c82700,nhRXz,dashboard-angefangen,,enter,,0,
162775,1737162222358,7cca99778558848ec788231ba4c82700,nhRXz,dashboard-zeitangaben,,enter,,0,
162776,1737162225804,7cca99778558848ec788231ba4c82700,nhRXz,dashboard-favoriten,,enter,,0,
162777,1737162227143,7cca99778558848ec788231ba4c82700,nhRXz,dashboard,,enter,,0,
162778,1737162231838,7cca99778558848ec788231ba4c82700,nhRXz,faq-glossar,,enter,,0,
162779,1737162266839,7cca99778558848ec788231ba4c82700,nhRXz,dashboard,,enter,,0,
162780,1737162267803,7cca99778558848ec788231ba4c82700,nhRXz,dashboard-favoriten,,enter,,0,
162781,1737162268618,7cca99778558848ec788231ba4c82700,nhRXz,dashboard-zeitangaben,,enter,,0,
162782,1737162269099,7cca99778558848ec788231ba4c82700,nhRXz,dashboard-angefangen,,enter,,0,
162783,1737162269615,7cca99778558848ec788231ba4c82700,nhRXz,dashboard-wochentage,,enter,,0,
162784,1737162270789,7cca99778558848ec788231ba4c82700,nhRXz,dashboard-favoriten,,enter,,0,
162785,1737162271953,7cca99778558848ec788231ba4c82700,nhRXz,dashboard-angefangen,,enter,,0,
162786,1737162272539,7cca99778558848ec788231ba4c82700,nhRXz,dashboard,,enter,,0,
162787,1737162273770,7cca99778558848ec788231ba4c82700,nhRXz,dashboard-angefangen,,enter,,0,
162788,1737162275176,7cca99778558848ec788231ba4c82700,nhRXz,dashboard,,enter,,0,
