176101,1754285789593,39dbb14df05de83408952a3e3831f8c5,yEGKS,download,,enter,,0,
176102,1754305209649,7775850d87e84cece38de8d37978d887,scq6o,reader_kinderundhausmrchen,,enter,kinderundhausmrchen,0,
176103,1754305209573,7775850d87e84cece38de8d37978d887,scq6o,start,,enter,,0,
176104,1754305211283,7775850d87e84cece38de8d37978d887,scq6o,reader_kinderundhausmrchen,page61,enter,0.0286,121,kinderundhausmrchen-0efb9;kinderundhausmrchen-20934;kinderundhausmrchen-2947f;kinderundhausmrchen-418ed;kinderundhausmrchen-581b6;kinderundhausmrchen-92385;kinderundhausmrchen-a817c
176105,1754305246269,7775850d87e84cece38de8d37978d887,scq6o,reader_kinderundhausmrchen,page62,enter,0.0291,127,kinderundhausmrchen-2947f;kinderundhausmrchen-4999f;kinderundhausmrchen-7c824;kinderundhausmrchen-8afb0;kinderundhausmrchen-91f87;kinderundhausmrchen-c170b;kinderundhausmrchen-cc2b1;kinderundhausmrchen-dd97c
176106,1754305249589,7775850d87e84cece38de8d37978d887,scq6o,reader_kinderundhausmrchen,location,set,ort-6,0,
176107,1754305286942,7775850d87e84cece38de8d37978d887,scq6o,reader_kinderundhausmrchen,page63,enter,0.0295,121,kinderundhausmrchen-0954a;kinderundhausmrchen-4e022;kinderundhausmrchen-8ba70;kinderundhausmrchen-c170b;kinderundhausmrchen-ceab6;kinderundhausmrchen-d112e
176108,1754305386928,7775850d87e84cece38de8d37978d887,scq6o,reader_kinderundhausmrchen,mindwandering,close,reject,0,
176109,1754305422956,7775850d87e84cece38de8d37978d887,scq6o,reader_kinderundhausmrchen,page64,enter,0.03,135,kinderundhausmrchen-19325;kinderundhausmrchen-2591a;kinderundhausmrchen-3ba63;kinderundhausmrchen-bafba;kinderundhausmrchen-ceab6;kinderundhausmrchen-e71f5;kinderundhausmrchen-f6b69;kinderundhausmrchen-f8969;kinderundhausmrchen-fca6b
176110,1754305496565,7775850d87e84cece38de8d37978d887,scq6o,reader_kinderundhausmrchen,page65,enter,0.0305,134,kinderundhausmrchen-1f609;kinderundhausmrchen-2e69d;kinderundhausmrchen-3411d;kinderundhausmrchen-3ba63;kinderundhausmrchen-52e81;kinderundhausmrchen-6e037;kinderundhausmrchen-82a68;kinderundhausmrchen-e5fee;kinderundhausmrchen-f58ad
176111,1754305559303,7775850d87e84cece38de8d37978d887,scq6o,reader_kinderundhausmrchen,page66,enter,0.0309,122,kinderundhausmrchen-013b8;kinderundhausmrchen-14cc1;kinderundhausmrchen-432ba;kinderundhausmrchen-5ebaa;kinderundhausmrchen-6e037;kinderundhausmrchen-742a6;kinderundhausmrchen-fc494
176112,1754305602392,7775850d87e84cece38de8d37978d887,scq6o,reader_kinderundhausmrchen,page67,enter,0.0314,129,kinderundhausmrchen-28ab8;kinderundhausmrchen-2ee76;kinderundhausmrchen-82c82;kinderundhausmrchen-9ae85;kinderundhausmrchen-af4f0;kinderundhausmrchen-dc287;kinderundhausmrchen-f265f;kinderundhausmrchen-f4517;kinderundhausmrchen-fc494
176113,1754305636036,7775850d87e84cece38de8d37978d887,scq6o,reader_kinderundhausmrchen,page68,enter,0.0319,129,kinderundhausmrchen-2d8ba;kinderundhausmrchen-5358d;kinderundhausmrchen-8aff7;kinderundhausmrchen-9ae85;kinderundhausmrchen-b0172;kinderundhausmrchen-cd5db;kinderundhausmrchen-d1fce
176114,1754305673224,7775850d87e84cece38de8d37978d887,scq6o,reader_kinderundhausmrchen,page67,enter,0.0314,129,kinderundhausmrchen-28ab8;kinderundhausmrchen-2ee76;kinderundhausmrchen-82c82;kinderundhausmrchen-9ae85;kinderundhausmrchen-af4f0;kinderundhausmrchen-dc287;kinderundhausmrchen-f265f;kinderundhausmrchen-f4517;kinderundhausmrchen-fc494
176115,1754305674281,7775850d87e84cece38de8d37978d887,scq6o,reader_kinderundhausmrchen,page68,enter,0.0319,129,kinderundhausmrchen-2d8ba;kinderundhausmrchen-5358d;kinderundhausmrchen-8aff7;kinderundhausmrchen-9ae85;kinderundhausmrchen-b0172;kinderundhausmrchen-cd5db;kinderundhausmrchen-d1fce
176116,1754305674882,7775850d87e84cece38de8d37978d887,scq6o,reader_kinderundhausmrchen,page69,enter,0.0323,135,kinderundhausmrchen-2d8ba;kinderundhausmrchen-6b8da;kinderundhausmrchen-6dd2d;kinderundhausmrchen-7a137;kinderundhausmrchen-95d6b
