183132,1761125310112,7993db075148a906bfa40d16dbe46093,XYyhD,kontakt,,enter,,0,
183133,1761148241174,cfcb75f36f79823ff8bf18205cd44532,A7Sw1,start,,enter,,0,
183134,1761148246853,cfcb75f36f79823ff8bf18205cd44532,A7Sw1,datenschutz-bestaetigen,,enter,,0,
183135,1761148250503,cfcb75f36f79823ff8bf18205cd44532,A7Sw1,fragebogen,,enter,,0,
183136,1761162835581,93c8023c42b71704e0868cb00c196434,DCeGM,start,,enter,,0,
183137,1761162869549,93c8023c42b71704e0868cb00c196434,DCeGM,datenschutz-bestaetigen,,enter,,0,
183138,1761162876199,93c8023c42b71704e0868cb00c196434,DCeGM,fragebogen,,enter,,0,
183139,1761162919457,93c8023c42b71704e0868cb00c196434,DCeGM,home,,enter,,0,
183140,1761162935810,93c8023c42b71704e0868cb00c196434,DCeGM,gluecksaufschlag-intro,,enter,,0,
183141,1761162957793,93c8023c42b71704e0868cb00c196434,DCeGM,gluecksaufschlag,,enter,,0,
183142,1761162987930,93c8023c42b71704e0868cb00c196434,DCeGM,reader_meinblauesklavier,,enter,meinblauesklavier,0,
183143,1761162988705,93c8023c42b71704e0868cb00c196434,DCeGM,reader_meinblauesklavier,page31,enter,0.8889,9,meinblauesklavier-250e3
183144,1761162988978,93c8023c42b71704e0868cb00c196434,DCeGM,reader_meinblauesklavier,page32,enter,0.9167,62,meinblauesklavier-019a1;meinblauesklavier-389ef;meinblauesklavier-41c18;meinblauesklavier-642bb;meinblauesklavier-7a19c;meinblauesklavier-7fa54;meinblauesklavier-87db2;meinblauesklavier-900d2;meinblauesklavier-9ac38;meinblauesklavier-ae21d;meinblauesklavier-b3d2a;meinblauesklavier-dedb8;meinblauesklavier-f8ecd
183145,1761162998274,93c8023c42b71704e0868cb00c196434,DCeGM,reader_meinblauesklavier,location,set,ort-6,0,
183146,1761163035537,93c8023c42b71704e0868cb00c196434,DCeGM,reader_meinblauesklavier,page33,enter,0.9444,72,meinblauesklavier-09aa4;meinblauesklavier-31cf0;meinblauesklavier-41d0f;meinblauesklavier-56be1;meinblauesklavier-5b268;meinblauesklavier-65726;meinblauesklavier-6e8c9;meinblauesklavier-b20f8;meinblauesklavier-bbcd3;meinblauesklavier-c0aec;meinblauesklavier-d37d7;meinblauesklavier-e6e61
